group,key,id,desc,column_name_regex,validation
currencies,afghanistan/afghani,AFN,afghanistan - afghani,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,ã…land islands/euro,EUR,ã…land islands - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,albania/lek,ALL,albania - lek,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,algeria/algerian dinar,DZD,algeria - algerian dinar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,american samoa/us dollar,USD,american samoa - us dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,andorra/euro,EUR,andorra - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,angola/kwanza,AOA,angola - kwanza,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,anguilla/east caribbean dollar,XCD,anguilla - east caribbean dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,antarctica/no universal currency,,antarctica - no universal currency,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,antigua and barbuda/east caribbean dollar,XCD,antigua and barbuda - east caribbean dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,argentina/argentine peso,ARS,argentina - argentine peso,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,armenia/armenian dram,AMD,armenia - armenian dram,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,aruba/aruban florin,AWG,aruba - aruban florin,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,australia/australian dollar,AUD,australia - australian dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,austria/euro,EUR,austria - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,azerbaijan/azerbaijan manat,AZN,azerbaijan - azerbaijan manat,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,bahamas (the)/bahamian dollar,BSD,bahamas (the) - bahamian dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,bahrain/bahraini dinar,BHD,bahrain - bahraini dinar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,bangladesh/taka,BDT,bangladesh - taka,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,barbados/barbados dollar,BBD,barbados - barbados dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,belarus/belarusian ruble,BYN,belarus - belarusian ruble,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,belgium/euro,EUR,belgium - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,belize/belize dollar,BZD,belize - belize dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,benin/cfa franc bceao,XOF,benin - cfa franc bceao,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,bermuda/bermudian dollar,BMD,bermuda - bermudian dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,bhutan/indian rupee,INR,bhutan - indian rupee,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,bhutan/ngultrum,BTN,bhutan - ngultrum,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,bolivia (plurinational state of)/boliviano,BOB,bolivia (plurinational state of) - boliviano,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,bolivia (plurinational state of)/mvdol,BOV,bolivia (plurinational state of) - mvdol,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,"bonaire, sint eustatius and saba/us dollar",USD,"bonaire, sint eustatius and saba - us dollar",(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,bosnia and herzegovina/convertible mark,BAM,bosnia and herzegovina - convertible mark,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,botswana/pula,BWP,botswana - pula,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,bouvet island/norwegian krone,NOK,bouvet island - norwegian krone,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,brazil/brazilian real,BRL,brazil - brazilian real,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,british indian ocean territory (the)/us dollar,USD,british indian ocean territory (the) - us dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,brunei darussalam/brunei dollar,BND,brunei darussalam - brunei dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,bulgaria/bulgarian lev,BGN,bulgaria - bulgarian lev,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,burkina faso/cfa franc bceao,XOF,burkina faso - cfa franc bceao,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,burundi/burundi franc,BIF,burundi - burundi franc,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,cabo verde/cabo verde escudo,CVE,cabo verde - cabo verde escudo,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,cambodia/riel,KHR,cambodia - riel,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,cameroon/cfa franc beac,XAF,cameroon - cfa franc beac,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,canada/canadian dollar,CAD,canada - canadian dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,cayman islands (the)/cayman islands dollar,KYD,cayman islands (the) - cayman islands dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,central african republic (the)/cfa franc beac,XAF,central african republic (the) - cfa franc beac,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,chad/cfa franc beac,XAF,chad - cfa franc beac,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,chile/chilean peso,CLP,chile - chilean peso,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,chile/unidad de fomento,CLF,chile - unidad de fomento,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,china/yuan renminbi,CNY,china - yuan renminbi,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,christmas island/australian dollar,AUD,christmas island - australian dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,cocos (keeling) islands (the)/australian dollar,AUD,cocos (keeling) islands (the) - australian dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,colombia/colombian peso,COP,colombia - colombian peso,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,colombia/unidad de valor real,COU,colombia - unidad de valor real,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,comoros (the)/comorian franc,KMF,comoros (the) - comorian franc,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,congo (the democratic republic of the)/congolese franc,CDF,congo (the democratic republic of the) - congolese franc,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,congo (the)/cfa franc beac,XAF,congo (the) - cfa franc beac,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,cook islands (the)/new zealand dollar,NZD,cook islands (the) - new zealand dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,costa rica/costa rican colon,CRC,costa rica - costa rican colon,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,cã”te d'ivoire/cfa franc bceao,XOF,cã”te d'ivoire - cfa franc bceao,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,croatia/kuna,HRK,croatia - kuna,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,cuba/cuban peso,CUP,cuba - cuban peso,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,cuba/peso convertible,CUC,cuba - peso convertible,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
