entity,field_name,desc,required,type,blank,default,secmod,backend_table,backend_db_field_name
Loc,AccNumber,Account number,R,nvarchar(40),NO,,,Accounts,
Loc,AddressMatch,Address match from geocoder: indicating the resolution that the latitude / longitude represents,O,tinyint,YES,0,,Locations,
Loc,AppurtenantStructure," 
Code for the appurtenant building, such as shed or detached garage",O,tinyint,YES,0,1.0,LocationDetails,
Loc,AreaCode,Code representing typically the largest sub-division in a country (e.g. State code). See AreaCode Values sheet for details.,O,nvarchar(20),YES,,,Locations,
Loc,AreaName,Name relating to the AreaCode (e.g. State name). See AreaCode Values sheet for details.,O,nvarchar(50),YES,,,Locations,
Loc,BIPOI,"BI period of indemnity (in days, in increments of 0.5 days). Default value = 365 (1 year).",O,float,YES,365,,Locations,
Loc,BIPreparedness,BI preparedness,O,tinyint,YES,0,1.0,LocationDetails,
Loc,BIRedundancy,BI redundancy,O,tinyint,YES,0,1.0,LocationDetails,
Loc,BITIV,Business Interruption (BI) Total Insured Value,R,float,NO,,,Locations,
Loc,BIWaitingPeriod,BI waiting period (in days),O,smallint,YES,0,,LocationFinancials,
Loc,BaseFloodElevation,Water surface elevation (relative to datum - this is NOT a flood depth) corresponding to a flood having a 1% probability of being equaled or exceeded in a given year. A value of -999 for this field represents unknown/default.,O,float,YES,-999,1.0,LocationDetails,
Loc,BaseFloodElevationUnit,Code for the unit of measure used to express the BaseFloodElevation,O,tinyint,YES,1,1.0,LocationDetails,
Loc,Basement,Code that defines if there is a basement and if so whether it is finished or unfinished,O,tinyint,YES,0,1.0,LocationDetails,
Loc,BasementLevelCount,"Indicates the number of basement levels in a structure (supports up to 5 levels; for more than 5, enter 5).",O,tinyint,YES,0,1.0,LocationDetails,
Loc,BrickVeneer,Code that represents the percentage of external walls that consist of brick veneer.,O,tinyint,YES,0,1.0,LocationDetails,
Loc,BuildingCondition,Building condition,O,tinyint,YES,0,1.0,LocationDetails,
Loc,BuildingExteriorOpening,Code that represents the percentage of exterior walls that are open (i.e. have windows or doors),O,tinyint,YES,0,1.0,LocationDetails,
Loc,BuildingHeight,Total height of the structure,O,float,YES,-999,1.0,LocationDetails,
Loc,BuildingHeightUnit,Units of the BuildingHeight,O,tinyint,YES,1,1.0,LocationDetails,
Loc,BuildingID,Unique building identification number,O,varchar(20),YES,,,Locations,
Loc,BuildingShape,Code that represents the shape of the building,O,tinyint,YES,0,1.0,LocationDetails,
Loc,BuildingTIV,Building Total Insured Value,R,float,NO,,,Locations,
Loc,BuildingType,"Building type (e.g. detached, terraced, etc)",O,tinyint,YES,0,1.0,LocationDetails,
Loc,BuildingValuation,Field for third party valuation data,O,varchar(20),YES,,1.0,LocationDetails,
Loc,Chimney,"Code that indicates if the structure has a chimney and, if so, the height of the chimney",O,tinyint,YES,0,1.0,LocationDetails,
Loc,City,City,O,nvarchar(50),YES,,,Locations,
Loc,Cladding,The presence and material of exterior building cladding,O,tinyint,YES,0,1.0,LocationDetails,
Loc,CompletionDate,Construction project completion date - in ISO 8601 format: YYYY-MM-DD,O,date,YES,,,Locations,
Loc,CondNumber,Condition Number to be able to link to relevant special condition (numbers only). Matches with CondNumber in Acc file.,CR,int,YES,,,LocCond,CondID from ConditionsCondNumber
Loc,ConstructionCode,OED construction code,O,int,YES,5000,,Locations,
