entity,field_name,desc,required,type,blank,default,secmod,backend_table,backend_db_field_name
ReinsScope,AccNumber,Account number:  used for defining treaty scope in the reinsurance scope file,CR,nvarchar(40),YES,,,ReinsuranceScope,
ReinsScope,CedantName,Cedant name:  used for defining treaty scope in the reinsurance scope file,CR,varchar(40),YES,,,ReinsuranceScope,
ReinsScope,CededPercent,"Ceded percentage (for 12%, enter 0.12). Within the reinsurance scope file, CededPercent should only be entered for surplus share treaties.",CR,real,YES,1.0,,ReinsAcc; ReinsPol; ReinsLoc; ReinsuranceScope,
ReinsScope,CountryCode,Country code: used for defining treaty scope in the reinsurance scope file,CR,char(2),YES,,,ReinsuranceScope,
ReinsScope,LOB,Line of business:  used for defining treaty scope in the reinsurance scope file,CR,varchar(20),YES,,,ReinsuranceScope,
ReinsScope,LocGroup,Location group name:  used for defining treaty scope in the reinsurance scope file,CR,nvarchar(20),YES,,,ReinsLoc; ReinsuranceScope,
ReinsScope,LocNumber,Location number:  used for defining treaty scope in the reinsurance scope file,CR,nvarchar(20),YES,,,ReinsuranceScope,
ReinsScope,PolNumber,Policy number:  used for defining treaty scope in the reinsurance scope file,CR,varchar(20),YES,,,ReinsuranceScope,
ReinsScope,PortNumber,Portfolio number: used for defining treaty scope in the reinsurance scope file,CR,varchar(20),YES,,,ReinsuranceScope,
ReinsScope,ProducerName,Producer name:  used for defining treaty scope in the reinsurance scope file,CR,varchar(40),YES,,,ReinsuranceScope,
ReinsScope,ReinsNumber,Reinsurance number to link with ReinsInfo file,R,int,NO,,,ReinsuranceScope,
ReinsScope,ReinsTag,Reinsurance tag: user defined field to for defining treaty scope in the reinsurance scope file,CR,varchar(20),YES,,,ReinsuranceScope,
ReinsScope,RiskLevel,Code to indicate the definition of 'risk' for the per-risk terms in this particular treaty (or portion of the treaty),R,char(3),YES,,,ReinsLoc; ReinsuranceScope,
